Name,Total Score,Process Method,Cultivar,Farm_Gate,Uniformity,Fragrance,Wet Aroma,Brightness,Flavor,Body_1,Finish,Sweetness,Clean Cup,Complexity,Berry,Floral,Sugars,Caramel,Citrus,Nuts,Rustic,Spice,Honey,Body_2,Region,Drying Method,Roast Recommendations,Website,instock
Kenya Nyeri Kiandu AB,91.6,Wet Process (Washed),Bourbon Types,Yes,9,9.1,9.3,9,9.3,8.8,9.4,8.9,8.5,9.3,3.5,1,4,1,2.5,0,1,3,0,3.5,"Karundu, Nyeri",Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/kenya-nyeri-kiandu-ab-6509.html,0
Kenya Nyeri Maganjo AA,92.3,Wet Process (Washed),Bourbon Types,Yes,9,9.3,9.5,8.8,9.5,9,9.3,9,9,9.4,2,0,3.5,0,2.5,0,0,3,0,4,"Mukurwe-Ini, Nyeri District",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/kenya-nyeri-maganjo-aa-7640.html,0
Kenya Nyeri Maganjo Peaberry,92,Wet Process Kenya Type,Bourbon Types,Yes,9,9.3,9.5,9.2,9.4,8.5,9.3,9,9,9.3,2.5,0,2,0,3,0,0,3.5,3.5,3.5,"Mukurwe-Ini, Nyeri District",Raised Bed Sun Dried,City to City+,https://www.sweetmarias.com/kenya-nyeri-maganjo-peaberry-7633.html,0
Kenya Nyeri Mahiga AA,90.3,Wet Process Kenya Type,Bourbon Types,Yes,8.5,8.8,9.2,9.2,9,9.3,8.3,8.8,8,9.2,3,0,2.5,0,3,0,1.5,2.5,0,4.5,Nyeri County,Raised Bed Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/kenya-nyeri-mahiga-aa-7328.html,0
Kenya Nyeri Rukira AA,90.7,Wet Process (Washed),Bourbon Types,Yes,9,8.8,9.5,8.7,9,8.8,9.2,8.9,8.5,9.3,3,0,3.5,2,2.5,0,0,2.5,0,3.5,Nyeri,Raised Bed Sun-dried,City to Full City,https://www.sweetmarias.com/kenya-nyeri-rukira-aa-6636.html,0
Kenya Nyeri Rukira AB,89.9,Wet Process (Washed),Bourbon Types,Yes,8.5,8.8,9.1,9,9,8.7,8.6,8.8,8.2,9.2,2,0,3.5,0,3,0,2,2,1.5,3.5,"Rukira, Nyeri",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/kenya-nyeri-rukira-ab-7326.html,0
Kenya Nyeri Thunguri AB,90,Wet Process (Washed),Bourbon Types,Yes,8.5,9,9.2,9,9.1,8.5,9,9,8.5,9.2,2.5,0,3.5,0,3,0,1.5,2,0,3.5,Nyeri,Raised Bed Sun Dried,City+ to Full City,https://www.sweetmarias.com/kenya-nyeri-thunguri-ab-7325.html,0
Kenya Tetu Mungaria AB,91,Wet Process Kenya Type,Bourbon Types,Yes,9,9,9.2,9.2,9,8.7,9.2,9,9,9.2,1.5,0,3,0,2.5,0,0,2,3,3.5,"Tetu, Nyeri",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/kenya-tetu-mungaria-ab-7733.html,0
Kenya Thika Karatu Peaberry,92.5,Wet Process (Washed),Bourbon Types,Yes,9,9.3,9.5,9.2,9.5,8.7,9.3,9,9,9.5,2.5,0,4,0,2.5,0,0,3,0,3.5,"Thika, Kiambu","Raised Bed Sun-DriedSL-28, SL-34",City to Full City,https://www.sweetmarias.com/kenya-thika-karatu-peaberry-7612.html,0
Kenya Thika Oreti AA,91.5,Wet Process (Washed),Bourbon Types,Yes,9,9,9.4,8.7,9.4,8.7,9,9,8.5,9.3,3,0,3,0,3,0,0,3,0,3.5,Thika Plateau,Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/kenya-thika-oreti-aa-7264.html,0
Malawi Mangochi Peaberry,86.7,Wet Process (Washed),"Bourbon Types, Modern Hybrids",No,8.5,8.4,8.5,8,8.5,8.8,8.3,8.4,8.5,8.3,0,0,3,2,0,1,0,0,0,4,Mangochi District,Patio Sun-Dried,City to Full City,https://www.sweetmarias.com/malawi-mangochi-peaberry-7694.html,0
Rwanda Dry Process Kanyege,88.7,Dry Process (Natural),Bourbon Types,Yes,8,8.7,8.8,8.5,8.8,9.3,8.5,8.7,8.3,9.1,3,0,4,0,0,0,1,1,0,4.5,Nyamasheke,Raised Bed Sun Dried,City to Full City+,https://www.sweetmarias.com/rwanda-dry-process-kanyege-7496.html,0
Rwanda Dry Process Macuba,88.1,Dry Process (Natural),Bourbon Types,Yes,8.2,8.9,9,8.6,8.9,9,8.7,8.7,8.3,9.3,3,1,3,0,2,0,2,1,0,4,"Macuba, Nyamasheke, Western Province",Raised Bed Sun-Dried,City to Full City+,https://www.sweetmarias.com/rwanda-dry-process-macuba-7494.html,0
Rwanda Dry Process Nyamiyaga,88.6,Dry Process (Natural),Bourbon Types,Yes,8,8.6,8.8,8.2,9,9.5,8.4,8.6,8.2,9.3,3.5,0,3,0,1.5,0,2,0,0,4.5,"Ngoma, Nyamiyaga, Kamonyi",Raised Bed Sun Dried,City to Full City+,https://www.sweetmarias.com/rwanda-dry-process-nyamiyaga-7495.html,0
Rwanda Dry Process Nyamiyaga,89.4,Dry Process (Natural),Bourbon Types,Yes,8,8.7,8.9,8.5,9,9.2,8,8.8,8,9.3,3,0,3,1,0,1.5,2,1,0,4,"Nyamiyaga, Ngoma, Kamonyi",Raised Bed Sun-Dried,City to Full City+,https://www.sweetmarias.com/rwanda-dry-process-nyamiyaga-7850.html,0
Rwanda Honey Process Kanyege,88.4,Honey Process,Bourbon Types,Yes,8.2,8.7,8.9,8.7,8.9,9,8.6,9,9,8.9,1,0,3.5,3.5,1.5,0,0,2,1,4,"Nyamasheke, Western Province",Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/rwanda-honey-process-kanyege-7497.html,0
Rwanda Kivu Kageyo,87.7,Wet Process (Washed),Bourbon Types,Yes,8.5,8.7,8.9,8.6,8.8,8.7,8.7,8.7,8.2,8.9,0.5,1,3.5,0,0,0,0,2.5,0,3.5,Ngororero District,Raised Bed Sun-Dried,City to Full City+,https://www.sweetmarias.com/rwanda-kivu-kageyo-6744.html,0
Rwanda Kivu Kageyo,87.6,Wet Process (Washed),Bourbon Types,No,8.5,8.6,8.8,8.6,8.8,8.8,8.4,8.6,8.3,8.7,0,0,3,4,1,0,0.5,2,0,4,Ngororero District,Raised Bed Sun-Dried,City to Full City+,https://www.sweetmarias.com/rwanda-kivu-kageyo-7439.html,0
Rwanda Milles Collines Peaberry,88.4,Wet Process (Washed),Bourbon Types,Yes,8.5,8.7,8.9,8.6,8.8,9,8.6,9,8.5,8.8,0.5,0,3.5,2.5,0.5,0,0,2.5,2,4,"Nyamasheke, Western Province",Raised Bed Sun-Dried,City to Full City+,https://www.sweetmarias.com/rwanda-milles-collines-peaberry-7498.html,0
Rwanda Ngororero,88.1,Wet Process (Washed),Bourbon Types,Yes,8.5,8.7,8.8,8.6,8.8,9.2,8.5,8.8,8.5,8.7,1,0,3,1,2,0,0,2,3,4,"Ngororero Town, Ngororero District",Raised Bed Sun-Dried,City to Full City+,https://www.sweetmarias.com/rwanda-ngororero-7493.html,0
Rwanda Nyamasheke Gitwe,89,Wet Process (Washed),Bourbon Types,Yes,8.3,8.8,9,9,9,8.5,9,8.8,9,9.1,0,0,3.5,0,2.5,0,0,3,2.5,3.5,"Nyamasheke, Western Province",Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/rwanda-nyamasheke-gitwe-7444.html,0
Rwanda Nyamasheke Mutovu,87.2,Wet Process (Washed),Bourbon Types,Yes,8.5,8.5,8.7,8.3,8.6,9.1,8,8.8,8,8.7,1,0,3.5,2.5,0,0,2,2,0,4,"Nyamasheke, Western Province",Raised Bed Sun Dried,"City+ minimum to develop sweetness, but can be taken up to Full City+",https://www.sweetmarias.com/rwanda-nyamasheke-mutovu-7443.html,0
Rwanda Nyamasheke Nyaco,88.1,Wet Process (Washed),Bourbon Types,Yes,8.5,8.8,9,8.6,8.8,8.9,8.3,8.8,8.2,8.7,0,0,3.5,2.5,1,0,1,2,1,4,"Nyamasheke, Western Province",Raised Bed Sun Dried,City to Full City+,https://www.sweetmarias.com/rwanda-nyamasheke-nyaco-7489.html,0
Rwanda Nyamasheke Nyakabingo,88.9,Wet Process (Washed),Bourbon Types,Yes,8,8.7,9.1,8.7,9.1,8.9,8.8,9,8.5,9.1,1,0,3.5,2.5,1,0,0,2,1,4,"Nyamasheke, Western Province",Raised Bed Sun-Dried,City to Full City+,https://www.sweetmarias.com/rwanda-nyamasheke-nyakabingo-7492.html,0
SPECIAL DEAL! Ethiopia Organic Gera Genji Challa,91,Wet Process (Washed),Heirloom Types,Yes,9,9,9,9,9.3,9,9,9,9,9.2,0,2,2,0,2.5,0,0,2,4,4,"Gera, Jimma",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/ethiopia-organic-gera-genji-challa-7698.html,0
Tanzania Mara Tarime Peaberry,87.5,Wet Process (Washed),Bourbon Types,No,8.5,8.5,8.8,8.7,8.5,9.5,7.7,8.8,7.5,9,2.5,0,4,0,0,0,2.5,1.5,0,5,Tarime Town,Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/tanzania-mara-tarime-peaberry-7423.html,0
Tanzania Mbamba Namku Peaberry,86.5,Wet Process (Washed),"Bourbon Types, Typica Types, Modern Hybrids",Yes,9,7.8,8.3,7.2,8.3,9.3,8,8.2,7.7,8.7,0,0,2.5,0,0,0,2.5,0,0,4.5,"Mbamba Bay, Mbinga",Raised Bed Sun-Dried,Full City to Full City+ - a great coffee for dark roasted espresso!,https://www.sweetmarias.com/tanzania-mbamba-namku-peaberry-7213.html,0
Tanzania Mbozi Ilomba AB,88.5,Wet Process (Washed),"Bourbon Types, Typica Types",Yes,8.5,8.8,8.8,9,8.8,8.5,8.7,8.5,8.2,9.2,0,0,2.5,0,3,0,1.5,0,0,3.5,"Ilomba Village, Mbeya, Mbozi",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/tanzania-mbozi-ilomba-ab-7566.html,0
Tanzania Sepukila Cooperative AB,87.8,Wet Process (Washed),Bourbon Types,No,8.5,8.7,8.9,8.8,8.8,8.5,8.7,8.7,8.2,9,1.5,0,3.5,0,2.5,0,0,2,0,3.5,"Ruvuma, Mbinga",Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/tanzania-sepukila-cooperative-ab-7212.html,0
Tanzania Tarime Town AA,88,Wet Process (Washed),Bourbon Types,No,8.5,8.7,8.8,8.9,8.7,9,8.5,8.7,8.3,8.9,0,0,3.5,0,2,0,0.5,2.5,2,4,Tarime Town,Patio Sun-Dried,City to Full City,https://www.sweetmarias.com/tanzania-tarime-town-aa-7422.html,0
Yemen Bani Haraz,87.3,Dry Process (Natural),Heirloom Types,Yes,8,8,8.6,7.5,8.7,9.7,7.8,8.5,7,9.5,0,0,3,2.5,0,2,3.5,1.5,0,5,Bani Haraz,Patio Sun-Dried,City+ to French,https://www.sweetmarias.com/yemen-bani-haraz-7570.html,0
Yemen Khulani Amer,88,Dry Process (Natural),Heirloom Types,Yes,7.5,7.5,8.5,7.5,8.8,1,8,8.4,7,9.8,2,0,3.5,2,0,2,3,2,0,5,"Khulan Amer District, Sa'ada",Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/yemen-khulani-amer-7178.html,0
Yemen Mokha Hajjah,87.3,Dry Process (Natural),Heirloom Types,Yes,8,7.8,8.3,8,8.6,9.5,7.5,8.2,7.2,9.2,0.5,0,2.5,2,0,2,3.5,1,0,5,"Bani Awam and Mabyan Districts, Hajjah Governorate",Patio Sun-Dried,City+ to French,https://www.sweetmarias.com/yemen-mokha-hajjah-7569.html,0
Yemen Mokha Matari,88.7,Dry Process (Natural),Heirloom Types,Yes,8,8.2,8.6,7.8,8.8,9.5,8.2,8.6,7.8,9.7,3,0,3,2,0,0,3,2,0,4.5,Bani Matari,Patio and Raised Bed Sun-Dried,City+ to Vienna,https://www.sweetmarias.com/yemen-mokha-matari-7571.html,0
Yemen Mokha Peaberry,87,Dry Process (Natural),Heirloom Types,Yes,8,8,8.4,8.1,8.4,9.2,7.8,8.3,7.3,9.5,0,0,2.5,3,0,2.5,3,2,2,4,Yemen,Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/yemen-mokha-peaberry-7572.html,0
Zambia Isanya Estate,86.1,Wet Process (Washed),Modern Hybrids,Yes,8.5,8.3,8.5,8.4,8.5,9,8.3,8.6,8,9,0,0,3,2,2,0,2,1,0,4,Kasama,Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/zambia-isanya-estate-6873.html,0
Yemen Al Qafr Hawari,87.4,Dry Process (Natural),Heirloom Types,Yes,8,7.5,8.5,7.5,8.7,1,7.5,8.4,7.5,9.3,0,0,3,3,0,2.5,3,1,0,5,"Hawari, Al Qafr District",Patio Sun-Dried,City+ to Vienna,https://www.sweetmarias.com/yemen-al-qafr-hawari-7568.html,0
India Dry Process Ratnagiri AB,87.4,Dry Process (Natural),"Bourbon Types, Modern Hybrids",No,8,8.7,8.8,8,8.8,8.5,8.5,8.6,8.3,9.2,3,1,3.5,0,0,0,1.5,2,0,3.5,"Bababudangiri, Karnataka, Western Ghats",Patio Sun-Dried,City to Full City,https://www.sweetmarias.com/india-dry-process-ratnagiri-ab-7696.html,0
India Monsoon Malabar AA,85,Monsoon,Modern Hybrids,No,1,7,7,6,7.5,1,6.5,6.5,6.5,1,0,0,1,1,0,3,4,1,0,5,India,Mechanical,Full City+ to French - not a coffee for light roasting!,https://www.sweetmarias.com/india-monsoon-malabar-aa-7513.html,0
India Pearl Mountain Estate Peaberry,86.4,Wet Process (Washed),"Bourbon Types, Modern Hybrids",No,9,8.2,8.3,7.8,8.3,9,8.2,8.3,8.3,8,0,0,2.5,1,0,2,1,0,0,4,"Bababudangiri, Karnataka, Western Ghats",Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/india-pearl-mountain-estate-peaberry-7695.html,0
Guatemala Xinabajul Aurelio Del Cerro,87.3,Wet Process (Washed),"Caturra Types, Bourbon Types, Modern Hybrids",Yes,9,8.6,8.8,8.6,8.7,9.3,8.5,8.8,8.5,8.5,1.5,0,3,4,1.5,1.5,0,0.5,0,4.5,"El Injerto, Huehuetenango",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/guatemala-xinabajul-aurelio-del-cerro-7309.html,0
Guatemala Xinabajul Jose Villatoro,88.1,Wet Process (Washed),"Caturra Types, Typica Types, Modern Hybrids",Yes,8.5,8.7,8.9,8.7,8.8,9.3,8.6,8.8,8.5,8.8,2,0,4,1.5,0,1,0,0,0,4,"La Palmira, La Libertad, Huehuetenango",Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/guatemala-xinabajul-jose-villatoro-7313.html,0
Guatemala Xinabajul Rosalio Villatoro,87.5,Wet Process (Washed),"Caturra Types, Bourbon Types, Typica Types, Modern Hybrids",Yes,8.5,8.5,8.7,8.3,8.6,8.7,8.5,8.7,8.5,8.5,1,0,3.5,2,0,2,0,0,0,3.5,"Peña Blanca, La Libertad",Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/guatemala-xinabajul-rosalio-villatoro-7311.html,0
Guatemala Xinabajul Virgilio,87.2,Wet Process (Washed),"Bourbon Types, Typica Types, Modern Hybrids",Yes,8.5,8.5,8.7,8.4,8.6,8.9,8.5,8.8,8.5,8.3,1,0,3,3.5,0,1.5,0,0,0,4,"San Pedro Necta, Huehuetenango",Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/guatemala-xinabajul-virgilio-7317.html,0
Costa Rica Chirripo Finca Jose,87.3,Mechanically Washed,"Caturra Types, Modern Hybrids",Yes,8.5,8.4,8.6,8.5,8.6,9,8.2,8.5,8.5,8.5,1.5,0,3.5,0,1.5,1.5,0,0,0,4,"Chirripo National Park, La Piedra de Rivas",Raised Bed Sun-Dried,City to Full City+,https://www.sweetmarias.com/costa-rica-chirripo-finca-jose-7691.html,0
Costa Rica Don Oscar Hermanos Solis,87.2,Machine Washed,"Caturra Types, Modern Hybrids",Yes,9,8.4,8.6,8.4,8.5,8.7,8.4,8.5,8.5,8.2,0,0,3,1,0,1.5,0,0,0,3.5,"San Marcos, Tarrazu",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/costa-rica-don-oscar-hermanos-solis-7428.html,0
Costa Rica Dry Process Hacienda Sonora,87.3,Dry Process (Natural),Modern Hybrids,Yes,8.2,8.5,8.7,7.5,8.6,9.7,8.3,8.6,8.5,8.7,2,0,3,2,0,0,0.5,0,0,4.5,"Alajuela, Central Valley",Raised Bed Sun Dried,City to Full City+,https://www.sweetmarias.com/costa-rica-dry-process-hacienda-sonora-7739.html,0
Costa Rica Helsar Eliomar Lopez,87.8,Mechanically Washed,Caturra Types,Yes,9,8.5,8.6,8.4,8.7,8.5,8.5,8.6,9,8.5,0,1,3.5,0,1.5,0,0,1,0,3.5,"Llano Bonito, West Valley",Patio Sun-Dried,City to Full City+ - very versatile coffee,https://www.sweetmarias.com/costa-rica-helsar-eliomar-lopez-7427.html,0
Costa Rica Helsar Miguel Rojas,88.1,Wet Process (Washed),Caturra Types,Yes,9,8.5,8.7,8.7,8.8,8.8,8.7,8.8,9,8.6,0.5,0,3,1,1,0,0,2,3,4,West Valley,Raised Bed Sun-Dried,City to Full City+,https://www.sweetmarias.com/costa-rica-helsar-miguel-rojas-7693.html,0
Costa Rica Honey Process Familia Ureña,87.6,Honey Process,"Caturra Types, Modern Hybrids",Yes,9,8.5,8.7,8.5,8.7,9,8.5,8.9,9,8.3,0,0,4,3,0,1.5,0,0,0,4,"Palmichal, Los Santos, Tarrazu",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/costa-rica-honey-process-familia-urena-7361.html,0
Costa Rica Honey Process Hacienda Sonora,87.5,Yellow Honey Process,Modern Hybrids,Yes,9,8.6,8.8,8.7,8.8,8.5,8.6,8.6,8.5,8.9,0,0,3.5,0,2,0,0.5,2,2.5,3,"Alajuela, Central Valley",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/costa-rica-honey-process-hacienda-sonora-7592.html,0
Costa Rica Honey Process Hacienda Sonora,87.6,Yellow Honey Process,Modern Hybrids,Yes,9,8.5,8.7,8.5,8.7,9.2,8.5,8.5,8.5,8.5,1,0,3.5,1,1,0,0,1,0,4,"Alajuela, Central Valley",Raised Bed Sun-Dried,City to Full City+,https://www.sweetmarias.com/costa-rica-honey-process-hacienda-sonora-7740.html,0
Costa Rica La Casona San Francisco,88,Mechanically Washed,"Caturra Types, Modern Hybrids",Yes,9,8.6,8.7,8.8,8.7,8.3,8.5,8.8,9,8.6,0,0,3,0,2,0,0,0,2,3,"San Marcos, Tarrazu",Raised Bed Sun Dried,City to Full City+ - super versatile in the roaster!,https://www.sweetmarias.com/costa-rica-la-casona-san-francisco-7686.html,0
Costa Rica Palmichal Los Santos,86.4,Mechanically Washed,"Caturra Types, Modern Hybrids",Yes,8.5,8.3,8.6,8.2,8.4,9.5,8.2,8.3,8.4,8,0.5,0,2.5,2.5,0,2,0.5,0,0,4.5,"Los Santos, Santa Cruz",Patio Sun-Dried,City+ to Vienna,https://www.sweetmarias.com/costa-rica-palmichal-los-santos-7596.html,0
Costa Rica Red Honey Don Oscar,87.8,Honey Process,"Caturra Types, Modern Hybrids",Yes,9,8.6,8.6,8.5,8.7,8.9,8.5,8.7,8.7,8.6,1.5,0,3.5,2,1,1.5,0,1,0,4,"San Marcos, Tarrazu",Raised Bed Sun-Dried,City to Full City+,https://www.sweetmarias.com/costa-rica-red-honey-don-oscar-7690.html,0
Costa Rica Rio Jorco Monte Azul,86.5,Mechanically Washed,"Caturra Types, Modern Hybrids",Yes,8.5,8.5,8.5,8.2,8.5,8.8,8.2,8.3,8.5,8,0,0,2.5,3,0,2,1,1.5,0,4,"Asserí, San Jose",Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/costa-rica-rio-jorco-monte-azul-7595.html,0
Costa Rica Tarrazu Solis & Cordero,87.5,Yellow Honey,Modern Hybrids,Yes,8.5,8.5,8.8,8.5,8.7,8.8,8,8.7,7.8,9.2,3,0,3.5,0,1,0,2.5,0,2,4,"Los Santos, Tarrazu",Patio Sun-Dried,City+ to Full City,https://www.sweetmarias.com/costa-rica-tarrazu-solis-cordero-7365.html,0
Costa Rica Tarrazú Cerro La Cruz,87.2,Wet Process (Washed),Modern Hybrids,Yes,9,8.5,8.6,8.5,8.5,8.5,8.4,8.7,8.5,8.5,0,0,3,1.5,1,1.5,0,0,2.5,3.5,"San Marcos, Tarrazú",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/costa-rica-tarrazu-cerro-la-cruz-7425.html,0
Costa Rica Tarrazú Finca El Mango,87.1,Mechanically Washed,"Caturra Types, Modern Hybrids",Yes,9,8.5,8.6,8.5,8.5,8.7,8.3,8.5,8.5,8.5,0,0,3,2,1.5,1,0,0,2,3.5,"San Marcos, Tarrazú",Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/costa-rica-tarrazu-finca-el-mango-7689.html,0
Costa Rica Tarrazú La Casona,87,Mechanically Washed,Caturra Types,Yes,9,8.4,8.7,8.5,8.5,8.5,8.5,8.6,8.5,8.3,0,0,3,2,1,1.5,0,0,1.5,3.5,"San Marcos, Tarrazu",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/costa-rica-tarrazu-la-casona-7430.html,0
Costa Rica Tarrazú Quebrada Grande,88,Mechanically Washed,"Caturra Types, Modern Hybrids",Yes,9,8.7,8.8,8.7,8.7,8.7,8.7,9,9,8.7,1.5,0,3,1,1.5,0,0,2,3.5,3.5,"Santa Maria de Dota, Tarrazu",Patio Sun-Dried,City to City+,https://www.sweetmarias.com/costa-rica-los-angeles-quebrada-7692.html,0
Costa Rica Yellow Honey Lote Hermanas,87.3,Yellow Honey Process,Caturra Types,Yes,8.5,8.6,8.7,8.7,8.8,9,8.6,8.6,8.5,8.8,2.5,0,3,2,0,0,0.5,1,0,4,"Los Santos, San Marcos, Tarrazu",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/costa-rica-yellow-honey-lote-hermanas-7594.html,0
Costa Rica Zarcero Monte Brisas,87.5,Wet Process (Washed),Modern Hybrids,Yes,9,8.5,8.7,8.6,8.7,9,8.6,8.5,8.7,8.7,0,0,3,2,2,0,0,2,0,4,"Zarcero, West Valley",Raised Bed Sun-Dried,City to Full City+,https://www.sweetmarias.com/costa-rica-zarcero-monte-brisas-7593.html,0
El Salvador Atiquizaya Tabi,86.8,Wet Process (Washed),Modern Hybrids,No,8.5,8.3,8.5,8.5,8.5,8.7,8.3,8.3,8.5,8.2,0,0,3,3,0,1,0,1.5,0,3.5,"Apaneca, Ahuachapan",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/el-salvador-atiquizaya-tabi-7587.html,0
El Salvador Dry Process Finca San Luis,87.5,Dry Process (Natural),"Bourbon Types, Modern Hybrids",Yes,8.2,8.5,8.7,8,8.5,9,8.3,8.5,7.3,9.5,3,0,3,1,0,0,3,0,2,4,"Concepción de Ataco, Ahuachapan",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/el-salvador-dry-process-finca-san-luis-7591.html,0
El Salvador Finca Miravalles Bourbon,86.5,Wet Process (Washed),Bourbon Types,Yes,8.5,8.3,8.5,8.3,8.5,9,8.3,8.3,8.5,7.8,0,0,2.5,3,0,2,0,0,0,4,"Apaneca, Ahuachapan",Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/el-salvador-finca-miravalles-bourbon-7585.html,0
El Salvador Finca Miravalles Castillo,86.8,Wet Process (Washed),Modern Hybrids,Yes,8.5,8.5,8.5,8.4,8.5,8.7,8.4,8.5,8.5,8.3,0,0,3,2,1,2,0,2,2.5,4,"Apaneca, Ahuachapan",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/el-salvador-finca-miravalles-castillo-7583.html,0
El Salvador Finca Miravalles Caturra,86.6,Wet Process (Washed),Caturra Types,Yes,8.5,8.3,8.5,8.3,8.5,8.7,8.4,8.4,8.5,8,0,0,3,2.5,0.5,0,0,0,0,3.5,"Apaneca, Ahuachapan",Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/el-salvador-finca-miravalles-caturra-7584.html,0
El Salvador Finca Miravalles H1,86,Wet Process (Washed),Heirloom Types,Yes,8.5,8.2,8.4,8,8.2,9.5,8.2,8.2,8.3,7.5,0,0,2,3,0,2.5,0,0,2,4.5,"Apaneca, Ahuachapan",Patio Sun-Dried,"City+ to Full City+, very versatile!",https://www.sweetmarias.com/el-salvador-finca-miravalles-h1-7589.html,0
El Salvador Finca Miravalles Pacamara,88.9,Wet Process (Washed),Modern Hybrids,Yes,8.5,8.7,8.8,8.4,8.8,9,8.6,8.7,8.5,8.9,2,0,3,1,1.5,0,0.5,0,0,4,"Apaneca, Ahuachapan",Patio Sun-Dried,City to Full City,https://www.sweetmarias.com/el-salvador-miravalles-pacamara-7588.html,0
El Salvador Honey Process Finca Miravalles,87.2,Honey Process,Modern Hybrids,Yes,8.5,8.5,8.6,8,8.5,9.4,8.3,8.5,8.5,8.4,0,0,2,0,0,2,0.5,0,3,4.5,"Apaneca, Ahuachapan",Raised Bed Sun Dried,City+ to Full City+,https://www.sweetmarias.com/el-salvador-honey-process-finca-miravalles-7590.html,0
El Salvador Matalapa El Pino,86.4,Wet Process (Washed),Bourbon Types,Yes,8.5,8.4,8.6,8.2,8.5,9,8.4,8.5,8.5,7.8,0,0,3,2,0,2.5,0,0,1.5,4,La Libertad,Patio Sun-Dried,City+ to Vienna,https://www.sweetmarias.com/el-salvador-matalapa-el-pino-6891.html,0
El Salvador Santa Ana Pacas,86.5,Wet Process (Washed),Bourbon Types,Yes,8.5,8.3,8.6,8.3,8.6,8.5,8.5,8.5,8.5,7.7,0,0,3,3,0,2,0,0,1,3.5,Santa Ana and Chalatenango,Raised Bed Sun-Dried and Patio Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/el-salvador-santa-ana-pacas-7357.html,0
El Salvador Volcán San Miguel Maragogype,88.6,Wet Process (Washed),Typica Types,No,9,8.6,8.8,8.7,8.8,8.7,8.7,9,9,8.8,0,1,4,2,0,0,0,0,0,3.5,"Volcán Chaparrastique, San Miguel",Patio Sun-Dried,City to Full City,https://www.sweetmarias.com/el-salvador-volcan-san-miguel-maragogype-7762.html,0
Guatemala Acatenango Gesha,93,Wet Process (Washed),Gesha,Yes,9,9.2,9.5,9,9.5,8.7,9.3,9,9.5,9.3,0,3,3.5,0,2,0,0,2,2.5,3.5,Acatenango,Patio Sun-Dried,City to City+,https://www.sweetmarias.com/guatemala-acatenango-gesha-7661.html,0
Guatemala Acatenango Gesha Lot 2,92.5,Wet Process (Washed),Gesha,Yes,9,9,9.5,9,9.4,8.5,9.3,9,9.5,9.3,1.5,3.5,4,0,2.5,0,0,2,1,3.5,Acatenango,Patio Sun-Dried,City to Full City,https://www.sweetmarias.com/guatemala-acatenango-gesha-lot-2-7662.html,0
Guatemala Antigua Finca Cabrejo,87.9,Wet Process (Washed),Bourbon Types,Yes,9,8.5,8.7,8.6,8.8,9,8.6,8.7,8.8,8.7,0,0.5,4,1,1.5,0,0,2,0,4,Antigua,Patio Sun-dried,City to Full City+,https://www.sweetmarias.com/guatemala-antigua-finca-cabrejo-7599.html,0
Guatemala Antigua Finca Cabrejo Lot 2,87.8,Wet Process (Washed),"Caturra Types, Bourbon Types, Typica Types, Modern Hybrids",Yes,9,8.5,8.7,8.5,8.8,9,8.6,8.7,8.8,8.7,0,0,4,1,1.5,0,0,2,0,4,Antigua,Patio Sun-Dried,City to Full City+,https://www.sweetmarias.com/guatemala-antigua-finca-cabrejo-lot-2-7664.html,0
